date,campaign_id,region,channel,impressions,clicks,sessions,checkout_starts,checkout_completes,conversions,spend,updated_at
2025-05-02,Performance_East_Marketplace,East,Marketplace,2440,160,103,10.72,4.18,4.18,2021.8,2025-05-02 23:59:59
2025-05-02,AlwaysOn_West_Web,West,Web,6228,395,261,27.25,10.63,10.63,4609.77,2025-05-02 23:59:59
2025-05-02,Performance_West_Web,West,Web,4510,286,189,19.74,7.7,7.7,3338.11,2025-05-02 23:59:59
2025-05-02,AlwaysOn_West_App,West,App,4952,368,230,23.85,9.3,9.3,4299.42,2025-05-02 23:59:59
2025-05-02,Performance_West_App,West,App,3586,267,166,17.27,6.74,6.74,3113.38,2025-05-02 23:59:59
2025-05-02,AlwaysOn_West_Marketplace,West,Marketplace,4575,295,186,19.53,7.62,7.62,3479.05,2025-05-02 23:59:59
2025-05-02,Performance_West_Marketplace,West,Marketplace,3313,214,135,14.14,5.52,5.52,2519.31,2025-05-02 23:59:59
2025-05-03,AlwaysOn_North_Web,North,Web,7372,497,303,31.91,12.45,12.45,5647.75,2025-05-03 23:59:59
2025-05-03,Performance_North_Web,North,Web,5338,360,219,23.11,9.01,9.01,4089.75,2025-05-03 23:59:59
2025-05-03,AlwaysOn_North_App,North,App,6111,425,273,28.05,10.94,10.94,5416.29,2025-05-03 23:59:59
2025-05-03,Performance_North_App,North,App,4426,308,198,20.31,7.92,7.92,3922.14,2025-05-03 23:59:59
2025-05-03,AlwaysOn_North_Marketplace,North,Marketplace,5078,340,223,23.69,9.24,9.24,3847.76,2025-05-03 23:59:59
2025-05-03,Performance_North_Marketplace,North,Marketplace,3677,246,161,17.15,6.69,6.69,2786.31,2025-05-03 23:59:59
2025-05-03,AlwaysOn_South_Web,South,Web,6580,460,263,28.08,10.95,10.95,4944.3,2025-05-03 23:59:59
2025-05-03,Performance_South_Web,South,Web,4765,333,191,20.34,7.93,7.93,3580.36,2025-05-03 23:59:59
2025-05-03,AlwaysOn_South_App,South,App,5541,371,238,23.99,9.36,9.36,4193.48,2025-05-03 23:59:59
2025-05-03,Performance_South_App,South,App,4012,269,172,17.37,6.77,6.77,3036.66,2025-05-03 23:59:59
2025-05-03,AlwaysOn_South_Marketplace,South,Marketplace,4661,311,194,20.28,7.91,7.91,3476.11,2025-05-03 23:59:59
2025-05-03,Performance_South_Marketplace,South,Marketplace,3375,225,140,14.69,5.73,5.73,2517.18,2025-05-03 23:59:59
2025-05-03,AlwaysOn_East_Web,East,Web,5011,356,223,22.62,8.82,8.82,3910.15,2025-05-03 23:59:59
2025-05-03,Performance_East_Web,East,Web,3629,257,161,16.38,6.39,6.39,2831.49,2025-05-03 23:59:59
2025-05-03,AlwaysOn_East_App,East,App,4599,315,204,21.86,8.53,8.53,3805.22,2025-05-03 23:59:59
2025-05-03,Performance_East_App,East,App,3330,228,148,15.83,6.17,6.17,2755.51,2025-05-03 23:59:59
2025-05-03,AlwaysOn_East_Marketplace,East,Marketplace,3453,256,156,17.01,6.63,6.63,2778.9,2025-05-03 23:59:59
2025-05-03,Performance_East_Marketplace,East,Marketplace,2501,185,113,12.32,4.8,4.8,2012.31,2025-05-03 23:59:59
2025-05-03,AlwaysOn_West_Web,West,Web,6521,456,285,30.19,11.78,11.78,5520.47,2025-05-03 23:59:59
2025-05-03,Performance_West_Web,West,Web,4722,330,207,21.86,8.53,8.53,3997.58,2025-05-03 23:59:59
2025-05-03,AlwaysOn_West_App,West,App,5394,380,248,25.78,10.06,10.06,4681.95,2025-05-03 23:59:59
2025-05-03,Performance_West_App,West,App,3906,276,179,18.67,7.28,7.28,3390.38,2025-05-03 23:59:59
2025-05-03,AlwaysOn_West_Marketplace,West,Marketplace,4886,345,214,22.49,8.77,8.77,4253.68,2025-05-03 23:59:59
2025-05-03,Performance_West_Marketplace,West,Marketplace,3538,250,155,16.28,6.35,6.35,3080.25,2025-05-03 23:59:59
2025-05-04,AlwaysOn_North_Web,North,Web,7914,532,328,34.2,13.34,13.34,6138.47,2025-05-04 23:59:59
2025-05-04,Performance_North_Web,North,Web,5731,385,238,24.77,9.66,9.66,4445.1,2025-05-04 23:59:59
2025-05-04,AlwaysOn_North_App,North,App,6155,479,285,29.18,11.38,11.38,5310.43,2025-05-04 23:59:59
2025-05-04,Performance_North_App,North,App,4457,347,206,21.13,8.24,8.24,3845.48,2025-05-04 23:59:59
2025-05-04,AlwaysOn_North_Marketplace,North,Marketplace,5863,370,240,24.98,9.74,9.74,4395.43,2025-05-04 23:59:59
2025-05-04,Performance_North_Marketplace,North,Marketplace,4246,268,174,18.09,7.06,7.06,3182.9,2025-05-04 23:59:59
2025-05-04,AlwaysOn_South_Web,South,Web,6081,421,264,27.56,10.75,10.75,5045.53,2025-05-04 23:59:59
2025-05-04,Performance_South_Web,South,Web,4404,305,192,19.96,7.78,7.78,3653.66,2025-05-04 23:59:59
2025-05-04,AlwaysOn_South_App,South,App,5617,356,238,24.99,9.74,9.74,4695.73,2025-05-04 23:59:59
2025-05-04,Performance_South_App,South,App,4067,258,172,18.09,7.06,7.06,3400.36,2025-05-04 23:59:59
2025-05-04,AlwaysOn_South_Marketplace,South,Marketplace,4341,311,196,20.13,7.85,7.85,3481.29,2025-05-04 23:59:59
2025-05-04,Performance_South_Marketplace,South,Marketplace,3143,225,142,14.57,5.68,5.68,2520.94,2025-05-04 23:59:59
2025-05-04,AlwaysOn_East_Web,East,Web,5202,366,231,24.27,9.47,9.47,3998.43,2025-05-04 23:59:59
2025-05-04,Performance_East_Web,East,Web,3767,265,167,17.58,6.86,6.86,2895.41,2025-05-04 23:59:59
2025-05-04,AlwaysOn_East_App,East,App,4553,312,199,21.46,8.37,8.37,3783.18,2025-05-04 23:59:59
2025-05-04,Performance_East_App,East,App,3297,226,144,15.54,6.06,6.06,2739.54,2025-05-04 23:59:59
2025-05-04,AlwaysOn_East_Marketplace,East,Marketplace,3505,257,160,16.85,6.57,6.57,2993.4,2025-05-04 23:59:59
2025-05-04,Performance_East_Marketplace,East,Marketplace,2538,186,116,12.2,4.76,4.76,2167.63,2025-05-04 23:59:59
2025-05-04,AlwaysOn_West_Web,West,Web,6582,471,297,32.32,12.61,12.61,6171.56,2025-05-04 23:59:59
2025-05-04,Performance_West_Web,West,Web,4766,341,215,23.41,9.13,9.13,4469.06,2025-05-04 23:59:59
2025-05-04,AlwaysOn_West_App,West,App,5823,376,241,25.41,9.91,9.91,4322.8,2025-05-04 23:59:59
2025-05-04,Performance_West_App,West,App,4217,272,174,18.4,7.18,7.18,3130.3,2025-05-04 23:59:59
2025-05-04,AlwaysOn_West_Marketplace,West,Marketplace,4550,326,207,21.71,8.47,8.47,3436.54,2025-05-04 23:59:59
2025-05-04,Performance_West_Marketplace,West,Marketplace,3295,236,150,15.72,6.13,6.13,2488.53,2025-05-04 23:59:59
2025-05-05,AlwaysOn_North_Web,North,Web,6320,501,294,29.79,11.62,11.62,5405.08,2025-05-05 23:59:59
2025-05-05,Performance_North_Web,North,Web,4577,363,213,21.57,8.41,8.41,3914.02,2025-05-05 23:59:59
2025-05-05,AlwaysOn_North_App,North,App,6442,383,249,27.02,10.54,10.54,4355.08,2025-05-05 23:59:59
2025-05-05,Performance_North_App,North,App,4665,278,180,19.57,7.63,7.63,3153.68,2025-05-05 23:59:59
2025-05-05,AlwaysOn_North_Marketplace,North,Marketplace,4737,342,215,23.34,9.1,9.1,4047.54,2025-05-05 23:59:59
2025-05-05,Performance_North_Marketplace,North,Marketplace,3431,247,156,16.9,6.59,6.59,2930.98,2025-05-05 23:59:59
2025-05-05,AlwaysOn_South_Web,South,Web,6185,414,270,28.2,11.0,11.0,5109.58,2025-05-05 23:59:59
2025-05-05,Performance_South_Web,South,Web,4479,300,196,20.42,7.96,7.96,3700.04,2025-05-05 23:59:59
2025-05-05,AlwaysOn_South_App,South,App,5040,365,225,23.68,9.24,9.24,4100.49,2025-05-05 23:59:59
2025-05-05,Performance_South_App,South,App,3650,264,163,17.15,6.69,6.69,2969.32,2025-05-05 23:59:59
2025-05-05,AlwaysOn_South_Marketplace,South,Marketplace,4525,314,196,20.75,8.09,8.09,3659.05,2025-05-05 23:59:59
2025-05-05,Performance_South_Marketplace,South,Marketplace,3277,227,142,15.03,5.86,5.86,2649.66,2025-05-05 23:59:59
2025-05-05,AlwaysOn_East_Web,East,Web,5281,353,210,22.06,8.6,8.6,3953.47,2025-05-05 23:59:59
2025-05-05,Performance_East_Web,East,Web,3824,256,152,15.97,6.23,6.23,2862.86,2025-05-05 23:59:59
2025-05-05,AlwaysOn_East_App,East,App,4553,304,188,19.34,7.54,7.54,3352.33,2025-05-05 23:59:59
2025-05-05,Performance_East_App,East,App,3297,220,136,14.01,5.46,5.46,2427.55,2025-05-05 23:59:59
2025-05-05,AlwaysOn_East_Marketplace,East,Marketplace,3707,244,158,16.89,6.59,6.59,2676.11,2025-05-05 23:59:59
2025-05-05,Performance_East_Marketplace,East,Marketplace,2685,177,114,12.23,4.77,4.77,1937.87,2025-05-05 23:59:59
2025-05-05,AlwaysOn_West_Web,West,Web,6351,446,280,29.4,11.46,11.46,5240.47,2025-05-05 23:59:59
2025-05-05,Performance_West_Web,West,Web,4599,323,203,21.29,8.3,8.3,3794.83,2025-05-05 23:59:59
2025-05-05,AlwaysOn_West_App,West,App,4953,385,242,26.17,10.2,10.2,4517.77,2025-05-05 23:59:59
2025-05-05,Performance_West_App,West,App,3587,279,176,18.95,7.39,7.39,3271.49,2025-05-05 23:59:59
2025-05-05,AlwaysOn_West_Marketplace,West,Marketplace,4376,333,206,21.48,8.38,8.38,3866.14,2025-05-05 23:59:59
2025-05-05,Performance_West_Marketplace,West,Marketplace,3169,241,149,15.55,6.07,6.07,2799.62,2025-05-05 23:59:59
2025-05-06,AlwaysOn_North_Web,North,Web,7282,513,321,34.28,13.37,13.37,5498.44,2025-05-06 23:59:59
2025-05-06,Performance_North_Web,North,Web,5273,371,233,24.82,9.68,9.68,3981.63,2025-05-06 23:59:59
2025-05-06,AlwaysOn_North_App,North,App,5916,423,251,26.99,10.53,10.53,4565.56,2025-05-06 23:59:59
2025-05-06,Performance_North_App,North,App,4284,306,182,19.55,7.62,7.62,3306.09,2025-05-06 23:59:59
2025-05-06,AlwaysOn_North_Marketplace,North,Marketplace,5322,373,227,24.63,9.61,9.61,4290.19,2025-05-06 23:59:59
2025-05-06,Performance_North_Marketplace,North,Marketplace,3854,270,164,17.84,6.96,6.96,3106.69,2025-05-06 23:59:59
2025-05-06,AlwaysOn_South_Web,South,Web,6252,402,261,27.0,10.53,10.53,4837.28,2025-05-06 23:59:59
2025-05-06,Performance_South_Web,South,Web,4528,291,189,19.55,7.63,7.63,3502.86,2025-05-06 23:59:59
2025-05-06,AlwaysOn_South_App,South,App,5527,393,233,24.98,9.74,9.74,4264.93,2025-05-06 23:59:59
2025-05-06,Performance_South_App,South,App,4002,285,169,18.09,7.05,7.05,3088.4,2025-05-06 23:59:59
2025-05-06,AlwaysOn_South_Marketplace,South,Marketplace,4245,306,194,20.39,7.95,7.95,3322.59,2025-05-06 23:59:59
2025-05-06,Performance_South_Marketplace,South,Marketplace,3074,222,141,14.77,5.76,5.76,2406.01,2025-05-06 23:59:59
2025-05-06,AlwaysOn_East_Web,East,Web,4999,364,227,23.56,9.19,9.19,4337.02,2025-05-06 23:59:59
2025-05-06,Performance_East_Web,East,Web,3620,264,165,17.06,6.65,6.65,3140.6,2025-05-06 23:59:59
2025-05-06,AlwaysOn_East_App,East,App,4295,290,178,18.78,7.32,7.32,3182.2,2025-05-06 23:59:59
2025-05-06,Performance_East_App,East,App,3110,210,129,13.6,5.3,5.3,2304.35,2025-05-06 23:59:59
2025-05-06,AlwaysOn_East_Marketplace,East,Marketplace,3349,240,143,15.04,5.86,5.86,2685.06,2025-05-06 23:59:59
2025-05-06,Performance_East_Marketplace,East,Marketplace,2425,174,104,10.89,4.25,4.25,1944.35,2025-05-06 23:59:59
2025-05-06,AlwaysOn_West_Web,West,Web,5652,442,264,28.02,10.93,10.93,4741.64,2025-05-06 23:59:59
2025-05-06,Performance_West_Web,West,Web,4093,320,191,20.29,7.91,7.91,3433.6,2025-05-06 23:59:59
2025-05-06,AlwaysOn_West_App,West,App,5900,410,248,25.73,10.04,10.04,4772.46,2025-05-06 23:59:59
2025-05-06,Performance_West_App,West,App,4273,297,179,18.63,7.27,7.27,3455.92,2025-05-06 23:59:59
2025-05-06,AlwaysOn_West_Marketplace,West,Marketplace,4570,329,206,21.79,8.5,8.5,3863.09,2025-05-06 23:59:59
2025-05-06,Performance_West_Marketplace,West,Marketplace,3310,238,150,15.78,6.15,6.15,2797.41,2025-05-06 23:59:59
2025-05-07,AlwaysOn_North_Web,North,Web,6122,445,279,29.85,11.64,11.64,5257.69,2025-05-07 23:59:59
2025-05-07,Performance_North_Web,North,Web,4433,322,202,21.62,8.43,8.43,3807.29,2025-05-07 23:59:59
2025-05-07,AlwaysOn_North_App,North,App,5887,417,254,26.22,10.23,10.23,4524.23,2025-05-07 23:59:59
2025-05-07,Performance_North_App,North,App,4263,302,184,18.99,7.41,7.41,3276.17,2025-05-07 23:59:59
2025-05-07,AlwaysOn_North_Marketplace,North,Marketplace,4817,329,202,21.56,8.41,8.41,3979.31,2025-05-07 23:59:59
2025-05-07,Performance_North_Marketplace,North,Marketplace,3488,238,146,15.61,6.09,6.09,2881.57,2025-05-07 23:59:59
2025-05-07,AlwaysOn_South_Web,South,Web,6490,416,264,26.64,10.39,10.39,4831.18,2025-05-07 23:59:59
2025-05-07,Performance_South_Web,South,Web,4700,301,191,19.29,7.52,7.52,3498.44,2025-05-07 23:59:59
2025-05-07,AlwaysOn_South_App,South,App,4579,320,211,21.43,8.36,8.36,4143.37,2025-05-07 23:59:59
2025-05-07,Performance_South_App,South,App,3316,232,152,15.52,6.05,6.05,3000.37,2025-05-07 23:59:59
2025-05-07,AlwaysOn_South_Marketplace,South,Marketplace,3974,261,171,18.11,7.06,7.06,3226.1,2025-05-07 23:59:59
2025-05-07,Performance_South_Marketplace,South,Marketplace,2878,189,124,13.11,5.11,5.11,2336.14,2025-05-07 23:59:59
2025-05-07,AlwaysOn_East_Web,East,Web,4313,301,184,19.13,7.46,7.46,3409.9,2025-05-07 23:59:59
2025-05-07,Performance_East_Web,East,Web,3123,218,133,13.85,5.4,5.4,2469.24,2025-05-07 23:59:59
2025-05-07,AlwaysOn_East_App,East,App,4067,270,173,18.23,7.11,7.11,3315.7,2025-05-07 23:59:59
2025-05-07,Performance_East_App,East,App,2945,196,125,13.2,5.15,5.15,2401.02,2025-05-07 23:59:59
2025-05-07,AlwaysOn_East_Marketplace,East,Marketplace,3235,233,143,15.26,5.95,5.95,2672.65,2025-05-07 23:59:59
2025-05-07,Performance_East_Marketplace,East,Marketplace,2343,168,104,11.05,4.31,4.31,1935.36,2025-05-07 23:59:59
2025-05-07,AlwaysOn_West_Web,West,Web,5482,401,261,27.83,10.86,10.86,4800.31,2025-05-07 23:59:59
2025-05-07,Performance_West_Web,West,Web,3970,290,189,20.16,7.86,7.86,3476.09,2025-05-07 23:59:59
2025-05-07,AlwaysOn_West_App,West,App,5101,341,215,22.26,8.68,8.68,3522.48,2025-05-07 23:59:59
2025-05-07,Performance_West_App,West,App,3694,247,156,16.12,6.29,6.29,2550.76,2025-05-07 23:59:59
2025-05-07,AlwaysOn_West_Marketplace,West,Marketplace,4379,318,191,20.56,8.02,8.02,3720.25,2025-05-07 23:59:59
2025-05-07,Performance_West_Marketplace,West,Marketplace,3171,231,138,14.89,5.81,5.81,2693.98,2025-05-07 23:59:59
2025-05-08,AlwaysOn_North_Web,North,Web,6057,438,281,29.22,11.4,11.4,4994.82,2025-05-08 23:59:59
2025-05-08,Performance_North_Web,North,Web,4386,317,204,21.16,8.25,8.25,3616.94,2025-05-08 23:59:59
2025-05-08,AlwaysOn_North_App,North,App,5150,386,238,25.84,10.08,10.08,4579.96,2025-05-08 23:59:59
2025-05-08,Performance_North_App,North,App,3730,279,173,18.71,7.3,7.3,3316.52,2025-05-08 23:59:59
2025-05-08,AlwaysOn_North_Marketplace,North,Marketplace,4120,320,195,20.39,7.95,7.95,3684.01,2025-05-08 23:59:59
2025-05-08,Performance_North_Marketplace,North,Marketplace,2984,232,141,14.76,5.76,5.76,2667.73,2025-05-08 23:59:59
2025-05-08,AlwaysOn_South_Web,South,Web,5336,387,239,24.56,9.58,9.58,4302.92,2025-05-08 23:59:59
2025-05-08,Performance_South_Web,South,Web,3864,280,173,17.79,6.94,6.94,3115.91,2025-05-08 23:59:59
2025-05-08,AlwaysOn_South_App,South,App,5069,330,208,22.03,8.59,8.59,3917.32,2025-05-08 23:59:59
2025-05-08,Performance_South_App,South,App,3670,239,151,15.96,6.22,6.22,2836.68,2025-05-08 23:59:59
2025-05-08,AlwaysOn_South_Marketplace,South,Marketplace,4017,270,167,17.38,6.78,6.78,3241.55,2025-05-08 23:59:59
2025-05-08,Performance_South_Marketplace,South,Marketplace,2909,195,121,12.59,4.91,4.91,2347.33,2025-05-08 23:59:59
2025-05-08,AlwaysOn_East_Web,East,Web,4994,319,199,21.69,8.46,8.46,3746.37,2025-05-08 23:59:59
2025-05-08,Performance_East_Web,East,Web,3616,231,144,15.7,6.12,6.12,2712.89,2025-05-08 23:59:59
2025-05-08,AlwaysOn_East_App,East,App,4037,277,173,17.87,6.97,6.97,3368.15,2025-05-08 23:59:59
2025-05-08,Performance_East_App,East,App,2923,200,125,12.94,5.05,5.05,2439.0,2025-05-08 23:59:59
2025-05-08,AlwaysOn_East_Marketplace,East,Marketplace,3047,225,146,14.83,5.78,5.78,2584.67,2025-05-08 23:59:59
2025-05-08,Performance_East_Marketplace,East,Marketplace,2207,163,105,10.74,4.19,4.19,1871.66,2025-05-08 23:59:59
2025-05-08,AlwaysOn_West_Web,West,Web,6249,402,259,28.23,11.01,11.01,4727.63,2025-05-08 23:59:59
2025-05-08,Performance_West_Web,West,Web,4525,291,188,20.44,7.97,7.97,3423.45,2025-05-08 23:59:59
2025-05-08,AlwaysOn_West_App,West,App,5317,374,229,23.95,9.34,9.34,4158.87,2025-05-08 23:59:59
2025-05-08,Performance_West_App,West,App,3851,271,166,17.34,6.76,6.76,3011.6,2025-05-08 23:59:59
2025-05-08,AlwaysOn_West_Marketplace,West,Marketplace,4313,324,187,19.25,7.51,7.51,3647.29,2025-05-08 23:59:59
2025-05-08,Performance_West_Marketplace,West,Marketplace,3123,235,136,13.94,5.44,5.44,2641.14,2025-05-08 23:59:59
2025-05-09,AlwaysOn_North_Web,North,Web,6669,452,283,29.75,11.6,11.6,5596.62,2025-05-09 23:59:59
2025-05-09,Performance_North_Web,North,Web,4829,327,205,21.54,8.4,8.4,4052.72,2025-05-09 23:59:59
2025-05-09,AlwaysOn_North_App,North,App,5313,392,240,25.39,9.9,9.9,4269.6,2025-05-09 23:59:59
2025-05-09,Performance_North_App,North,App,3847,284,174,18.39,7.17,7.17,3091.78,2025-05-09 23:59:59
2025-05-09,AlwaysOn_North_Marketplace,North,Marketplace,4919,332,210,21.9,8.54,8.54,3948.89,2025-05-09 23:59:59
2025-05-09,Performance_North_Marketplace,North,Marketplace,3562,241,152,15.86,6.18,6.18,2859.54,2025-05-09 23:59:59
2025-05-09,AlwaysOn_South_Web,South,Web,5294,384,252,26.29,10.25,10.25,4246.63,2025-05-09 23:59:59
2025-05-09,Performance_South_Web,South,Web,3834,278,182,19.04,7.42,7.42,3075.14,2025-05-09 23:59:59
2025-05-09,AlwaysOn_South_App,South,App,4727,319,220,22.77,8.88,8.88,4244.64,2025-05-09 23:59:59
2025-05-09,Performance_South_App,South,App,3423,231,159,16.49,6.43,6.43,3073.71,2025-05-09 23:59:59
2025-05-09,AlwaysOn_South_Marketplace,South,Marketplace,3867,280,172,18.25,7.12,7.12,3563.81,2025-05-09 23:59:59
2025-05-09,Performance_South_Marketplace,South,Marketplace,2801,203,125,13.21,5.15,5.15,2580.69,2025-05-09 23:59:59
2025-05-09,AlwaysOn_East_Web,East,Web,4334,310,189,19.9,7.76,7.76,3448.77,2025-05-09 23:59:59
2025-05-09,Performance_East_Web,East,Web,3139,225,137,14.41,5.62,5.62,2497.39,2025-05-09 23:59:59
2025-05-09,AlwaysOn_East_App,East,App,4162,293,174,18.05,7.04,7.04,3326.55,2025-05-09 23:59:59
2025-05-09,Performance_East_App,East,App,3014,212,126,13.07,5.1,5.1,2408.88,2025-05-09 23:59:59
2025-05-09,AlwaysOn_East_Marketplace,East,Marketplace,3174,232,139,14.98,5.84,5.84,2463.48,2025-05-09 23:59:59
2025-05-09,Performance_East_Marketplace,East,Marketplace,2299,168,101,10.85,4.23,4.23,1783.9,2025-05-09 23:59:59
2025-05-09,AlwaysOn_West_Web,West,Web,6034,435,259,27.31,10.65,10.65,5139.55,2025-05-09 23:59:59
2025-05-09,Performance_West_Web,West,Web,4370,315,188,19.78,7.71,7.71,3721.75,2025-05-09 23:59:59
2025-05-09,AlwaysOn_West_App,West,App,5248,341,224,23.29,9.08,9.08,3950.14,2025-05-09 23:59:59
2025-05-09,Performance_West_App,West,App,3800,247,162,16.87,6.58,6.58,2860.45,2025-05-09 23:59:59
2025-05-09,AlwaysOn_West_Marketplace,West,Marketplace,3997,303,194,20.81,8.12,8.12,3494.48,2025-05-09 23:59:59
2025-05-09,Performance_West_Marketplace,West,Marketplace,2894,219,140,15.07,5.88,5.88,2530.49,2025-05-09 23:59:59
2025-05-10,AlwaysOn_North_Web,North,Web,6750,470,296,31.21,12.17,12.17,5252.25,2025-05-10 23:59:59
2025-05-10,Performance_North_Web,North,Web,4888,340,214,22.6,8.81,8.81,3803.36,2025-05-10 23:59:59
2025-05-10,AlwaysOn_North_App,North,App,6373,439,269,27.69,10.8,10.8,5022.65,2025-05-10 23:59:59
2025-05-10,Performance_North_App,North,App,4615,318,195,20.05,7.82,7.82,3637.09,2025-05-10 23:59:59
2025-05-10,AlwaysOn_North_Marketplace,North,Marketplace,5743,366,229,24.22,9.45,9.45,4358.46,2025-05-10 23:59:59
2025-05-10,Performance_North_Marketplace,North,Marketplace,4158,265,166,17.54,6.84,6.84,3156.13,2025-05-10 23:59:59
2025-05-10,AlwaysOn_South_Web,South,Web,5883,421,270,27.83,10.86,10.86,4819.2,2025-05-10 23:59:59
2025-05-10,Performance_South_Web,South,Web,4260,305,196,20.16,7.86,7.86,3489.76,2025-05-10 23:59:59
2025-05-10,AlwaysOn_South_App,South,App,5214,386,234,24.65,9.61,9.61,4408.76,2025-05-10 23:59:59
2025-05-10,Performance_South_App,South,App,3776,279,170,17.85,6.96,6.96,3192.55,2025-05-10 23:59:59
